Field_subtype,rpd,Source,all fileds,Sources,like_fields,
litigationdetails ,xx,imapp_foreclose,Lien 2 Book #,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Lien 2 Holder,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Lien 2 Type,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Lien 3 Amount,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Lien 3 Book #,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Lien 3 Page #,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Lien 4 Amount,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Lien 4 Holder,imapp_foreclose,,
litigationdetails ,xx,imapp_foreclose,Lien 4 Type,imapp_foreclose,,
MLS_agentdetals,xx,fbsboz,List Date,fbsboz,"listdate,Entry Date",
MLS_agentdetals,xx,fbsboz,Pricecut,fbsboz,Pricecut,
MLS_agentdetals,xx,fbsboz,Pricecutdate,fbsboz,Pricecutdate,
MLS_agentdetals,xx,fbsboz,Priceincrease,fbsboz,Priceincrease,
MLS_agentdetals,xx,fbsboz,Priceincreasedate,fbsboz,Priceincreasedate,
MLS_agentdetals,xx,fbsboz,impressions,fbsboz,Views,
MLS_agentdetals,xx,fbsboz,AVM,fbsboz,AVM,
MLS_agentdetals,xx,fbsboz,favorites,fbsboz,Saves,
MLS_agentdetals,x,RPD,ListAgentDirectPhone,RPD,"Listing Agent Phone Number,Agent Phone,List Agent Phone",
MLS_agentdetals,x,RPD,ListAgentEmail,mls_x_o,"Listing Agent E-Mail Address,Agent Email Address,List Agent Email",
MLS_agentdetals,x,RPD,ListAgentFormattedName,RPD,,
MLS_agentdetals,x,RPD,ListAgentFullName,kw_fsbo_X_C,"Listing Agent,Listing Agent Name,Listing Agent's Name,List Agent Name",
MLS_agentdetals,x,RPD,ListAgentKeyNumeric,RPD,,
MLS_agentdetals,x,RPD,ListAgentMlsId,RPD,,
MLS_agentdetals,x,RPD,ListAgentUnformattedPhone,RPD,,
MLS_agentdetals,x,RPD,ListAOR,kw_fsbo_X_C,MLS Name,
MLS_agentdetals,x,RPD,ListingId,"mls_x_o,imapp_X_C","Listing Number,MLS Number,MLS#,ML#",
a_system,x,RPD,ListingKeyNumeric,RPD,,
MLS_agentdetals,x,RPD,ListOfficeMlsId,RPD,,
MLS_agentdetals,x,RPD,ListOfficeName,"kw_fsbo_X_C,mls_x_o,imapp_X_C","Listing Office,Listing Office Name,Office Name,Listing Office Name",
MLS_agentdetals,x,RPD,ListOfficePhone,RPD,Listing Office Phone,
MLS_agentdetals,x,RPD,ListPrice,"kw_fsbo_X_C,mls_x_o","list price,List Price,price",
PropertyDetails,x,RPD,LivingArea,"mls_x_o,imapp_X_C,kw_fsbo_X_C,imapp_tax","Building/Living Area (sf),Square Footage,Living Area,Living/Heated Area,Total Living Area (sf),Total Living Area,SqFt Liv Area,sqft",
,x,RPD,Longitude,"RPD,imapp_X_C,mls_x_o",x,
